tipo;longitude;latitude;bairro;iptu;preco;condominio;area;quartos;banheiros;suites;vagas;caracteristicas
Apartamento;-46.550777;-23.688307;Centro;284;820000;850;123;3;3;1;2;[Academia,Churrasqueira,Cinema,Espaco gourmet,Jardim,Piscina,Playground,Quadra poliesportiva,Salao de festas,Salao de jogos,SPA,Sauna,Varanda gourmet]
Apartamento;-46.574437;-23.722694;Assuncao;56;220000;300;60;2;1;0;1;
Apartamento;-46.560267;-23.690866;Centro;0;1250000;850;151;3;1;3;2;[Piscina]
Apartamento;-46.566181;-23.721606;Assuncao;588;275000;430;57;2;1;0;1;
Apartamento;-46.551217;-23.689043;Centro;0;800000;660;123;3;3;1;2;[Sauna,Academia,Churrasqueira,Cinema,Espaco gourmet,Jardim,Piscina,Playground,Salao de festas,Quadra poliesportiva,Salao de jogos,Varanda gourmet]
Apartamento;-46.566075;-23.671322;Rudge Ramos;0;373149;300;62;2;2;1;2;[Churrasqueira,Jardim,Espaco gourmet,Academia,Salao de festas,Playground,Piscina,Quadra poliesportiva,Piscina adulto,Piscina infantil,Salao de jogos,Varanda,Area de servico,Varanda gourmet]
Apartamento;-46.560231;-23.684501;Vila Marlene;90;520000;250;84;3;2;1;2;[Area de servico,Varanda,Varanda gourmet]
Apartamento;-46.55321;-23.721465;Centro;0;235000;350;60;2;1;0;1;
Apartamento;-46.565149;-23.707981;Planalto;0;295000;375;56;2;2;1;1;[Academia,Churrasqueira,Piscina,Playground,Quadra poliesportiva,Salao de festas,Salao de jogos]
Apartamento;-46.576957;-23.67819;Jordanopolis;47;220000;290;54;2;1;0;1;
Apartamento;-46.560354;-23.670172;Rudge Ramos;0;419800;0;74;3;1;1;2;[Academia,Churrasqueira,Cinema,Espaco gourmet,Jardim,Piscina,Playground,Quadra poliesportiva,Salao de festas,Varanda gourmet]
Apartamento;-46.535111;-23.711388;Nova Petropolis;77;280000;480;60;2;1;;1;[Churrasqueira,Academia,Salao de festas,Salao de jogos,Varanda,Quadra poliesportiva,Area de servico]
Apartamento;-46.566181;-23.721606;Assuncao;92;314533;350;60;2;2;1;1;[Churrasqueira,Espaco gourmet,Playground,Varanda gourmet]
Apartamento;-46.54177;-23.689291;Baeta Neves;89;359000;550;75;3;1;1;1;[Churrasqueira,Salao de festas]
Apartamento;-46.555575;-23.679576;Rudge Ramos;80;545000;440;83;2;0;1;2;[Churrasqueira,Piscina,Sauna,Playground,Academia,Salao de jogos]
Apartamento;-46.549179;-23.687126;Centro;0;750000;0;106;3;3;1;2;[Academia,Churrasqueira,Cinema,Espaco gourmet,Jardim,Playground,Piscina,Quadra poliesportiva,Salao de festas,Salao de jogos,Sauna,SPA]
Apartamento;-46.54835;-23.698501;Baeta Neves;230;525000;650;90;2;2;2;2;[Academia,Churrasqueira,Cinema,Espaco gourmet,Jardim,Piscina,Playground,Quadra poliesportiva,Salao de festas,Salao de jogos,Sauna,Varanda gourmet]
Apartamento;-46.550194;-23.688963;Centro;282;845000;750;123;3;3;1;2;[Academia,Churrasqueira,Cinema,Espaco gourmet,Jardim,Piscina,Playground,Quadra poliesportiva,Salao de festas,Salao de jogos,Sauna,SPA,Varanda gourmet]
Apartamento;-46.544765;-23.698144;Baeta Neves;270;650000;700;102;3;3;0;2;
Apartamento;-46.560323;-23.736817;Demarchi;50;240000;350;55;2;1;;1;[Varanda,Playground,Quadra poliesportiva]
Apartamento;-46.564588;-23.667685;Vila Caminho do Mar;0;1200000;1500;200;3;5;3;3;[Churrasqueira,Varanda gourmet,Piscina,Varanda,Sauna,Area de servico]
Apartamento;-46.568513;-23.707724;Planalto;67;234990;400;50;2;1;0;1;[Academia,Churrasqueira,Cinema,Espaco gourmet,Jardim,Playground,Quadra poliesportiva,Salao de festas,Salao de jogos]
Apartamento;-46.549179;-23.687126;Centro;320;1050000;800;147;3;3;3;2;[Academia,Churrasqueira,Cinema,Espaco gourmet,Jardim,Piscina,Playground,Quadra poliesportiva,Salao de festas,Salao de jogos,Varanda gourmet]
Apartamento;-46.580454;-23.716082;Assuncao;0;230000;433;58;2;1;0;1;
Apartamento;-46.557423;-23.723207;Assuncao;83;285000;630;72;2;1;1;1;
Apartamento;-46.569019;-23.707477;Planalto;68;253000;348;50;2;1;0;1;[Area de servico]
Apartamento;-46.549481;-23.685142;Vila Vivaldi;0;405000;420;80;3;2;0;2;[Churrasqueira,Varanda gourmet,Piscina,Varanda,Espaco gourmet,Salao de jogos,Area de servico]
Apartamento;-46.615079;-23.661494;Taboao;63;255000;460;48;2;1;0;1;[Academia,Churrasqueira,Piscina,Playground,Quadra poliesportiva,Salao de festas,Salao de jogos]
Apartamento;-46.566075;-23.671322;Rudge Ramos;180;407715;500;75;3;2;1;2;[Piscina infantil,Piscina adulto,Academia,Churrasqueira,Cinema,Espaco gourmet,Piscina,Playground,Salao de festas,Varanda gourmet]
Apartamento;-46.553505;-23.687485;Jardim do Mar;1000;600000;1000;135;3;4;1;3;[Academia,Churrasqueira,Jardim,Playground,Quadra poliesportiva,Salao de festas,Salao de jogos]
Apartamento;-46.594358;-23.654576;Taboao;450;345000;415;60;2;2;1;1;
Apartamento;-46.52884;-23.728745;Ferrazopolis;40;210000;350;55;2;1;0;1;[Churrasqueira,Area de servico]
Apartamento;-46.596398;-23.668362;Pauliceia;75;295000;370;51;2;1;0;1;[Churrasqueira,Piscina,Varanda]
Apartamento;-46.544955;-23.691387;Baeta Neves;1000;425000;730;79;2;2;1;2;[Varanda]
Apartamento;-46.555987;-23.682879;Vila Dayse;0;299000;340;51;2;1;0;1;[Academia,Churrasqueira,Espaco gourmet,Piscina,Playground,Quadra poliesportiva,Salao de festas,Salao de jogos,Area de servico,Varanda,Varanda gourmet]
Apartamento;-46.540964;-23.699721;Baeta Neves;0;650000;600;93;3;3;2;0;[Churrasqueira,Espaco gourmet,Academia,Salao de festas,Playground,Piscina,Varanda,Sauna,SPA,Salao de jogos]
Apartamento;-46.537806;-23.706408;Nova Petropolis;0;205000;384;50;2;1;0;1;[Salao de festas]
Apartamento;-46.57297;-23.720561;Assuncao;504;250000;140;60;2;1;0;1;
Apartamento;-46.585017;-23.704841;Jardim Santo Ignacio;60;220000;250;56;2;1;0;1;
Apartamento;-46.532191;-23.726986;Ferrazopolis;60;225000;280;48;2;1;0;1;[Churrasqueira,Piscina,Playground,Quadra poliesportiva]
Apartamento;-46.573272;-23.655761;Rudge Ramos;0;359000;576;54;2;2;1;1;[Varanda,Salao de jogos,SPA,Area de servico]
Apartamento;-46.559323;-23.705139;Centro;76;289900;320;56;2;2;1;1;[Academia,Churrasqueira,Espaco gourmet,Jardim,Piscina,Playground,Quadra poliesportiva,Salao de festas,Salao de jogos,Varanda gourmet]
Apartamento;-46.550959;-23.690139;Centro;300;1200000;950;155;3;4;3;3;[Academia,Churrasqueira,Cinema,Espaco gourmet,Jardim,Piscina,Quadra poliesportiva,Salao de festas,Salao de jogos,Sauna,SPA,Varanda gourmet]
Apartamento;-46.549481;-23.685142;Vila Vivaldi;0;389900;430;80;3;2;1;2;[Academia,Churrasqueira,Playground,Piscina,Salao de jogos,Salao de festas]
Apartamento;-46.542011;-23.687184;Baeta Neves;0;240000;500;55;2;1;0;1;[Academia,Salao de festas]
Apartamento;-46.566637;-23.671353;Jardim Hollywood;0;419041;500;75;3;2;1;2;[Piscina infantil,Piscina adulto,Academia,Churrasqueira,Cinema,Espaco gourmet,Jardim,Piscina,Playground,Quadra poliesportiva,Salao de festas,Salao de jogos,Area de servico,Varanda,Varanda gourmet]
Apartamento;-46.560565;-23.735128;Jd N Sra De Fatima;52;225000;463;57;2;1;0;1;[Churrasqueira,Piscina,Area de servico]
Apartamento;-46.562537;-23.664211;Rudge Ramos;0;220000;395;61;2;2;1;1;
Apartamento;-46.552736;-23.688714;Centro;0;530000;400;60;2;1;1;2;
Apartamento;-46.568248;-23.672934;Jardim Paramount;0;363298;0;62;2;2;1;2;[Academia,Churrasqueira,Cinema,Espaco gourmet,Jardim,Piscina,Playground,Quadra poliesportiva,Salao de festas,Salao de jogos,SPA,Sauna]
Apartamento;-46.557423;-23.723207;Assuncao;65;195000;326;56;2;1;0;1;
Apartamento;-46.580064;-23.646796;Rudge Ramos;0;245655;300;50;2;1;0;1;
Apartamento;-46.551647;-23.688992;Centro;200;894900;850;156;3;5;3;3;[Academia,Churrasqueira,Cinema,Espaco gourmet,Jardim,Piscina,Playground,Quadra poliesportiva,Salao de festas,Salao de jogos,Sauna,SPA,Varanda gourmet]
Apartamento;-46.558115;-23.712422;Vila Goncalves;0;370000;560;70;3;2;1;2;
Apartamento;-46.562948;-23.685951;Jardim do Mar;1900;364900;550;61;2;2;1;2;
